Materiał,Gatunek,Technologia,Klasa,Wykończenie,Kolor blatu,Kształt blatu,Objętość (m³),Powierzchnia (m²),Obrys krawędzi (m),Długość,Szerokość,Wysokość,Długość,Szerokość,Wysokość,Nazwa produktu (PL),Publikacje - Allegro - Wszystkie - Nazwa produktu,Publikacje - Sklepy PL - PrestaShop - Nazwa produktu,SKU,Nazwa producenta,Stawka VAT,Waga (kg),Cena za m³,Cena obniżona netto,Cena obniżona netto z lakierowaniem,Cena brutto,Cena netto,Ilość,Lokalizacje (Drewno),Publikacje - Sklepy PL - PrestaShop - opis,Opis dodatkowy 1 (PL),Opis dodatkowy 2 (PL),Opis dodatkowy 3 (PL),Opis dodatkowy 4 (PL),zdjecie_1,zdjecie_2,zdjecie_3,zdjecie_4,zdjecie_5,zdjecie_6,zdjecie_7,zdjecie_8,zdjecie_9,zdjecie_10,zdjecie_11,zdjecie_12,zdjecie_13,zdjecie_14,zdjecie_15,zdjecie_16,Kurier,Koszt wysyłki,Koszt kolejnej sztuki,Cena z kosztami pakowania,Cennik wysyłki,ID Cennika
Drewno,Dąb,Lity,B/B,Lakierowany bezbarwny,dąb naturalny,Prostokąt,0.006,0.644,4.48,60,50,2,60,50,2,Blat dębowy lity B/B 60x50x2 cm lakierowany bezbarwny,Blat drewniany dębowy lity B/B 60x50x2 cm lakierowany bezbarwny,Blat dębowy 60x50x2 cm lity B/B lakierowany bezbarwny,BLADABLIT60502BBLAKBEZB,Wood Power Sp. z o.o.,23,4.2,13000,,,283.15,230.2,999,Bachórz,"<div class=""responsive-container"" style=""width: 100%;""><!-- Pierwszy blok: nagłówek oraz opis z ikonami --><div style=""display: flex; flex-wrap: wrap; align-items: center; gap: 50px;""><div style=""flex: 1; min-width: 250px;""><h2 style=""color: #ed6b24; padding-bottom: 18px;"">Postaw na blat, który wygląda świetnie i działa jeszcze lepiej</h2><p style=""line-height: 1.8em; text-align: justify; max-width: 635px;"">Lakierowane blaty z litego drewna to doskonałe połączenie naturalnego piękna z nowoczesnym zabezpieczeniem powierzchni. Każdy blat jest dwukrotnie lakierowany metodą natryskową, co nie tylko podkreśla strukturę drewna, ale przede wszystkim zapewnia mu odporność na intensywne użytkowanie, zachlapania czy uszkodzenia mechaniczne. To wybór, który przetrwa lata i nadal będzie wyglądać jak nowy.</p><p style=""line-height: 1.8em; text-align: justify; max-width: 635px;"">Wykończenie matowe tworzy miękki, naturalny efekt – bez połysku, za to z ogromną klasą. Jeśli wolisz lekki blask i elegancję z nutą nowoczesności, wybierz wersję półmatową. Oba warianty doskonale wpisują się w różne style wnętrz – od rustykalnych po minimalistyczne. Chcesz dowiedzieć się więcej lub otrzymać ofertę? Odezwij się – niczego nie narzucamy, ale chętnie doradzimy.</p></div><div style=""flex: 1; display: flex; justify-content: center; align-items: center;""><div style=""display: flex; justify-content: center; gap: 20px; max-width: 600px; min-width: 300px;""><div style=""display: flex; flex-direction: column; align-items: center; flex: 1 1 120px; min-width: 140px;""><img src=""/img/cms/icons/kg.svg"" alt=""Ikona wagi"" style=""width: 48px; height: 48px; margin-bottom: 8px;"" width=""48"" height=""48"" /><span style=""font-size: 16px; font-weight: bold; margin-bottom: 8px;"">Gęstość</span><span style=""background-color: #ed6b24; color: white; font-size: 14px; font-weight: bold; padding: 4px 16px; border-radius: 24px; display: inline-block;"">~720 kg/m3</span></div><div style=""display: flex; flex-direction: column; align-items: center; flex: 1 1 120px; min-width: 140px;""><img src=""/img/cms/icons/drop.svg"" alt=""Ikona wilgotności"" style=""width: 48px; height: 48px; margin-bottom: 8px;"" width=""48"" height=""48"" /><span style=""font-size: 16px; font-weight: bold; margin-bottom: 8px;"">Wilgotność</span><span style=""background-color: #ed6b24; color: white; font-size: 14px; font-weight: bold; padding: 4px 16px; border-radius: 24px; display: inline-block;"">8% - 10%</span></div><div style=""display: flex; flex-direction: column; align-items: center; flex: 1 1 120px; min-width: 140px;""><img src=""/img/cms/icons/size.svg"" alt=""Ikona wymiarów"" style=""height: 48px; margin-bottom: 8px;"" width=""66"" height=""48"" /><span style=""font-size: 16px; font-weight: bold; margin-bottom: 8px;"">Tolerancja</span><span style=""background-color: #ed6b24; color: white; font-size: 14px; font-weight: bold; padding: 4px 16px; border-radius: 24px; display: inline-block;"">+/- 2mm</span></div></div></div></div><br /></div><div style=""display: flex; flex-wrap: wrap; align-items: center; gap: 50px;""><div style=""flex: 1; text-align: center;""><img src=""/img/cms/opis_part_ii/lakier/blat/dab_lity_bb.jpg"" alt=""Przedstawienie technologii oraz klasy sprzedawanego produktu"" style=""max-width: 100%; height: auto; min-width: 300px;"" /></div><div style=""flex: 1; min-width: 250px; max-width: 635px;""><h3 style=""color: #ed6b24; padding-bottom: 18px;"">Co oznacza lity B/B?</h3><p style=""line-height: 1.8em; text-align: justify;""><b>Lite:</b><br />W technologii litej, w której lamele (ok. 4 cm) łączone wzdłuż. Dzięki tej technologii, uzyskuje się produkt o naturalnym i jednolitym wyglądzie, charakteryzujący się wysoką odpornością na uszkodzenia.<p style=""line-height: 1.8em; text-align: justify;""><b>B/B:</b><br />Obie powierzchnie (górna i dolna) eksponują naturalne cechy drewna, takie jak sęki i subtelne przebarwienia, tworząc spójny efekt rustykalny, idealny do wnętrz ceniących naturalność.</p></div></div><br /><div style=""display: flex; flex-wrap: wrap; align-items: center; gap: 50px; padding-bottom: 30px;""><div style=""flex: 1; min-width: 200px;""><h2 style=""color: #ed6b24; padding-bottom: 18px;"">Zastosowanie:</h2><ul style=""line-height: 1.8em; text-align: justify; list-style-type: disc;""><li style=""line-height: 1.8em; padding-bottom: 10px; text-align: justify;""><b>Restauracje</b> – Blat z naturalnego drewna w restauracji dodaje autentycznego, rustykalnego klimatu, który przyciąga gości swoją niepowtarzalnością.</li><li style=""line-height: 1.8em; padding-bottom: 10px; text-align: justify;""><b>Hotele</b> – Blat z naturalnego drewna doskonale podkreśla elegancję recepcji hotelowych, wprowadzając ciepło i luksus do przestrzeni wejściowych. Jego trwałość i autentyczny wygląd idealnie współgrają z wysokim standardem obsługi.</li><li style=""line-height: 1.8em; padding-bottom: 10px; text-align: justify;""><b>Salon</b> – Naturalny blat nadaje przestrzeni elegancji i oryginalności, tworząc przytulną atmosferę do relaksu i rozmów.</li></ul></div><div style=""flex: 1;""><div style=""display: flex; flex-wrap: wrap; justify-content: center; gap: 50px 20px; min-width: 300px; max-width: 600px;""><div style=""display: flex; flex-direction: column; align-items: center; flex: 1 1 120px; min-width: 150px; max-width: 160px;""><img src=""/img/cms/icons/wyspa.svg"" alt=""ikona extra 3"" style=""width: 64px; height: 64px; margin-bottom: 14px;"" width=""64"" height=""64"" /><span style=""background-color: #ed6b24; color: white; font-size: 14px; font-weight: bold; padding: 4px 16px; border-radius: 24px; display: inline-block;"">Blaty kuchenne</span></div><div style=""display: flex; flex-direction: column; align-items: center; flex: 1 1 120px; min-width: 150px; max-width: 160px;""><img src=""/img/cms/icons/book-shelf.svg"" alt=""ikona extra 1"" style=""width: 64px; height: 64px; margin-bottom: 14px;"" width=""64"" height=""64"" /><span style=""background-color: #ed6b24; color: white; font-size: 14px; font-weight: bold; padding: 4px 16px; border-radius: 24px; display: inline-block;"">Regały</span></div><div style=""display: flex; flex-direction: column; align-items: center; flex: 1 1 120px; min-width: 150px; max-width: 160px;""><img src=""/img/cms/icons/bench.svg"" alt=""ikona szafy"" style=""height: 64px; margin-bottom: 14px;"" width=""64"" height=""64"" /><span style=""background-color: #ed6b24; color: white; font-size: 14px; font-weight: bold; padding: 4px 16px; border-radius: 24px; display: inline-block;"">Ławki</span></div><div style=""display: flex; flex-direction: column; align-items: center; flex: 1 1 120px; min-width: 150px; max-width: 160px;""><img src=""/img/cms/icons/szafa.svg"" alt=""ikona stolika kawowego"" style=""height: 64px; margin-bottom: 14px;"" width=""64"" height=""64"" /><span style=""background-color: #ed6b24; color: white; font-size: 14px; font-weight: bold; padding: 4px 16px; border-radius: 24px; display: inline-block;"">Szafy</span></div><div style=""display: flex; flex-direction: column; align-items: center; flex: 1 1 120px; min-width: 150px; max-width: 160px;""><img src=""/img/cms/icons/komputer.svg"" alt=""ikona stołu"" style=""width: 64px; height: 64px; margin-bottom: 14px;"" width=""64"" height=""64"" /><span style=""background-color: #ed6b24; color: white; font-size: 14px; font-weight: bold; padding: 4px 16px; border-radius: 24px; display: inline-block;"">Biurka</span></div></div></div></div><p style=""font-style: italic; margin-top: 10px; font-size: 11px;"">Zdjęcia są poglądowe – każdy blat posiada unikalny układ słojów i odcieni.</p>","<section class=""section"">
    <div class=""item item-12"">
        <section class=""text-item"">
            <p>
                ➡️ Przedmiotem oferty jest <b>[nazwa_aukcji]</b>
            </p>
            <p>Dane techniczne:</p>
            <ul>
                <li><b>Długość (A):</b> [dlugosc] cm</li>
                <li><b>Szerokość (B):</b> [szerokosc] cm</li>
                <li><b>Grubość (C):</b> [wysokosc] cm</li>
                <li><b>Tolerancja:</b> +/- 2 mm</li>
                <li><b>Gatunek:</b> [cecha|gatunek]</li>
                <li><b>Technologia:</b> [cecha|technologia]</li>
                <li><b>Klasa:</b> [cecha|klasa]</li>
                <li><b>Wykończenie:</b> [cecha|wykończenie], zaokrąglone krawędzie</li>
                <li><b>Wilgotność:</b> 8-10%</li>
            </ul>
        </section>
    </div>
</section>","<section class=""section""> 
  <div class=""item item-12"">
      <section class=""text-item"">
          <h2>➡️ Zastosowanie:</h2><ul><li><b>Jadalnia:&nbsp;</b>Przytulne miejsce spotkań przy stole. Nasze blaty dodadzą ciepła każdemu wnętrzu.</li><li><b>Kuchnia:</b>&nbsp;Piękny, naturalny blat do kuchni, który możesz wykończyć według własnych preferencji.</li><li><b>Łazienka:</b>&nbsp;Drewno w łazience? Czemu nie! Naturalne drewno tworzy przyjazny i przytulny klimat.</li><li><b>Biuro:</b>&nbsp;Solidny i stylowy blat do Twojego gabinetu lub domowego biura.</li></ul>
      </section>
  </div>
</section>","<section class=""section"">
    <div class=""item item-12"">
        <section class=""text-item"">
            <h2>➡️ Dąb – siła i trwałość natury w Twoim domu</h2>
            <p>Dąb to jeden z najbardziej cenionych gatunków drewna w stolarstwie i aranżacji wnętrz. Charakteryzuje się wyjątkową twardością, odpornością na uszkodzenia oraz pięknym, naturalnym wyglądem, który dodaje elegancji każdemu pomieszczeniu. Drewno dębowe to idealny wybór, jeśli szukasz materiału, który przetrwa lata, a nawet dekady.</p>
        </section>
    </div>
</section>","<section class=""section"">
      <div class=""item item-12"">
          <section class=""text-item"">
              <h2>➡️ Co oznacza lite B/B?</h2>
              <p><b>Lite:</b> lamele o szerokości ok. 4 cm łączone wyłącznie na szerokości, co zapewnia jednolity, naturalny wygląd drewna, wysoką wytrzymałość na uszkodzenia mechaniczne oraz zachowuje strukturę drewna na całej długości.</p>
              <p><b>B/B:</b> Obie strony (góra i dół) posiadają naturalne sęki i przebarwienia, nadając produktowi rustykalny wygląd. Idealne do wnętrz, gdzie liczy się naturalność i autentyczność, pasujące zarówno do nowoczesnych, jak i klasycznych aranżacji.</p>
          </section>
      </div>
  </section>",https://serwer2462031.home.pl/baselinker_photos/blat_lakierowany_bezb/dab_lity_bb/1.jpg,https://serwer2462031.home.pl/baselinker_photos/blat_lakierowany_bezb/dab_lity_bb/2.jpg,https://serwer2462031.home.pl/baselinker_photos/blat_lakierowany_bezb/dab_lity_bb/3.jpg,https://serwer2462031.home.pl/baselinker_photos/blat_lakierowany_bezb/dab_lity_bb/4.jpg,https://serwer2462031.home.pl/baselinker_photos/blat_lakierowany_bezb/dab_lity_bb/5.jpg,https://serwer2462031.home.pl/baselinker_photos/blat_lakierowany_bezb/dab_lity_bb/6.jpg,https://serwer2462031.home.pl/baselinker_photos/blat_lakierowany_bezb/dab_lity_bb/7.jpg,https://serwer2462031.home.pl/baselinker_photos/blat_lakierowany_bezb/dab_lity_bb/8.jpg,,,,,,,,,DPD,14.69,0.35,19.10,cennik-do-25,2623550
Drewno,Dąb,Lity,B/B,Lakierowany bezbarwny,dąb naturalny,Prostokąt,0.009,0.666,4.52,60,50,3,60,50,3,Blat dębowy lity B/B 60x50x3 cm lakierowany bezbarwny,Blat drewniany dębowy lity B/B 60x50x3 cm lakierowany bezbarwny,Blat dębowy 60x50x3 cm lity B/B lakierowany bezbarwny,BLADABLIT60503BBLAKBEZB,Wood Power Sp. z o.o.,23,6.3,11500,,,329.33,267.75,999,Bachórz,"<div class=""responsive-container"" style=""width: 100%;""><!-- Pierwszy blok: nagłówek oraz opis z ikonami --><div style=""display: flex; flex-wrap: wrap; align-items: center; gap: 50px;""><div style=""flex: 1; min-width: 250px;""><h2 style=""color: #ed6b24; padding-bottom: 18px;"">Blaty lakierowane, które łączą trwałość z klasą</h2><p style=""line-height: 1.8em; text-align: justify; max-width: 635px;"">Szukasz blatu, który nie tylko wygląda świetnie, ale też wytrzyma codzienne wyzwania? Nasze lakierowane blaty to odpowiedź na potrzeby najbardziej wymagających użytkowników. Każdy blat pokrywamy aż dwiema warstwami lakieru natryskowego, co daje wyjątkową odporność na zarysowania, wilgoć i zabrudzenia. Dzięki temu możesz cieszyć się pięknym drewnem bez kompromisów, niezależnie od tego, czy tworzysz przestrzeń domową, komercyjną czy biurową.</p><p style=""line-height: 1.8em; text-align: justify; max-width: 635px;"">Matowe wykończenie to idealna opcja dla miłośników subtelnych, naturalnych aranżacji – eleganckie i ciepłe w odbiorze. Półmat z kolei dodaje wnętrzu szlachetnego połysku i eksponuje strukturę drewna w pełnej krasie. Bez względu na wybór, otrzymujesz produkt klasy premium, który łączy estetykę z funkcjonalnością. Nie wiesz, który wariant będzie idealny dla Ciebie? Napisz do nas – przygotujemy niezobowiązującą propozycję dopasowaną do Twoich oczekiwań.</p></div><div style=""flex: 1; display: flex; justify-content: center; align-items: center;""><div style=""display: flex; justify-content: center; gap: 20px; max-width: 600px; min-width: 300px;""><div style=""display: flex; flex-direction: column; align-items: center; flex: 1 1 120px; min-width: 140px;""><img src=""/img/cms/icons/kg.svg"" alt=""Ikona wagi"" style=""width: 48px; height: 48px; margin-bottom: 8px;"" width=""48"" height=""48"" /><span style=""font-size: 16px; font-weight: bold; margin-bottom: 8px;"">Gęstość</span><span style=""background-color: #ed6b24; color: white; font-size: 14px; font-weight: bold; padding: 4px 16px; border-radius: 24px; display: inline-block;"">~720 kg/m3</span></div><div style=""display: flex; flex-direction: column; align-items: center; flex: 1 1 120px; min-width: 140px;""><img src=""/img/cms/icons/drop.svg"" alt=""Ikona wilgotności"" style=""width: 48px; height: 48px; margin-bottom: 8px;"" width=""48"" height=""48"" /><span style=""font-size: 16px; font-weight: bold; margin-bottom: 8px;"">Wilgotność</span><span style=""background-color: #ed6b24; color: white; font-size: 14px; font-weight: bold; padding: 4px 16px; border-radius: 24px; display: inline-block;"">8% - 10%</span></div><div style=""display: flex; flex-direction: column; align-items: center; flex: 1 1 120px; min-width: 140px;""><img src=""/img/cms/icons/size.svg"" alt=""Ikona wymiarów"" style=""height: 48px; margin-bottom: 8px;"" width=""66"" height=""48"" /><span style=""font-size: 16px; font-weight: bold; margin-bottom: 8px;"">Tolerancja</span><span style=""background-color: #ed6b24; color: white; font-size: 14px; font-weight: bold; padding: 4px 16px; border-radius: 24px; display: inline-block;"">+/- 2mm</span></div></div></div></div><br /></div><div style=""display: flex; flex-wrap: wrap; align-items: center; gap: 50px;""><div style=""flex: 1; text-align: center;""><img src=""/img/cms/opis_part_ii/lakier/blat/dab_lity_bb.jpg"" alt=""Przedstawienie technologii oraz klasy sprzedawanego produktu"" style=""max-width: 100%; height: auto; min-width: 300px;"" /></div><div style=""flex: 1; min-width: 250px; max-width: 635px;""><h3 style=""color: #ed6b24; padding-bottom: 18px;"">Co oznacza lity B/B?</h3><p style=""line-height: 1.8em; text-align: justify;""><b>Lite:</b><br />Lamele o szerokości około 4 cm łączone są wyłącznie na szerokości, co zapewnia jednolity, naturalny wygląd drewna, wysoką wytrzymałość na uszkodzenia mechaniczne oraz spójną strukturę drewna.<p style=""line-height: 1.8em; text-align: justify;""><b>B/B:</b><br />Obie strony blatu są wykończone w sposób naturalny – prezentują autentyczne sęki i przebarwienia, nadając produktowi rustykalny, niepowtarzalny wygląd.</p></div></div><br /><div style=""display: flex; flex-wrap: wrap; align-items: center; gap: 50px; padding-bottom: 30px;""><div style=""flex: 1; min-width: 200px;""><h2 style=""color: #ed6b24; padding-bottom: 18px;"">Zastosowanie:</h2><ul style=""line-height: 1.8em; text-align: justify; list-style-type: disc;""><li style=""line-height: 1.8em; padding-bottom: 10px; text-align: justify;""><b>Jadalnia</b> – Centralny element aranżacji, który podkreśla przytulność przestrzeni, idealny do rodzinnych posiłków i spotkań przy stole.</li><li style=""line-height: 1.8em; padding-bottom: 10px; text-align: justify;""><b>Biuro i przestrzenie komercyjne</b> – Funkcjonalny i estetyczny blat w miejscu pracy podkreśla profesjonalizm, tworząc inspirujące środowisko do kreatywnej pracy.</li><li style=""line-height: 1.8em; padding-bottom: 10px; text-align: justify;""><b>Restauracje</b> – Blat z naturalnego drewna w restauracji dodaje autentycznego, rustykalnego klimatu, który przyciąga gości swoją niepowtarzalnością.</li></ul></div><div style=""flex: 1;""><div style=""display: flex; flex-wrap: wrap; justify-content: center; gap: 50px 20px; min-width: 300px; max-width: 600px;""><div style=""display: flex; flex-direction: column; align-items: center; flex: 1 1 120px; min-width: 150px; max-width: 160px;""><img src=""/img/cms/icons/bench.svg"" alt=""ikona szafy"" style=""height: 64px; margin-bottom: 14px;"" width=""64"" height=""64"" /><span style=""background-color: #ed6b24; color: white; font-size: 14px; font-weight: bold; padding: 4px 16px; border-radius: 24px; display: inline-block;"">Ławki</span></div><div style=""display: flex; flex-direction: column; align-items: center; flex: 1 1 120px; min-width: 150px; max-width: 160px;""><img src=""/img/cms/icons/komputer.svg"" alt=""ikona stołu"" style=""width: 64px; height: 64px; margin-bottom: 14px;"" width=""64"" height=""64"" /><span style=""background-color: #ed6b24; color: white; font-size: 14px; font-weight: bold; padding: 4px 16px; border-radius: 24px; display: inline-block;"">Biurka</span></div><div style=""display: flex; flex-direction: column; align-items: center; flex: 1 1 120px; min-width: 150px; max-width: 160px;""><img src=""/img/cms/icons/umywalka.svg"" alt=""ikona biurka"" style=""height: 64px; margin-bottom: 14px;"" width=""64"" height=""64"" /><span style=""background-color: #ed6b24; color: white; font-size: 14px; font-weight: bold; padding: 4px 16px; border-radius: 24px; display: inline-block;"">Blaty</span></div><div style=""display: flex; flex-direction: column; align-items: center; flex: 1 1 120px; min-width: 150px; max-width: 160px;""><img src=""/img/cms/icons/kawa.svg"" alt=""ikona wyspy kuchennej"" style=""width: 64px; height: 64px; margin-bottom: 14px;"" width=""64"" height=""64"" /><span style=""background-color: #ed6b24; color: white; font-size: 14px; font-weight: bold; padding: 4px 16px; border-radius: 24px; display: inline-block;"">Stoliki</span></div><div style=""display: flex; flex-direction: column; align-items: center; flex: 1 1 120px; min-width: 150px; max-width: 160px;""><img src=""/img/cms/icons/stolik.svg"" alt=""ikona extra 2"" style=""width: 64px; height: 64px; margin-bottom: 14px;"" width=""64"" height=""64"" /><span style=""background-color: #ed6b24; color: white; font-size: 14px; font-weight: bold; padding: 4px 16px; border-radius: 24px; display: inline-block;"">Stoły</span></div></div></div></div><p style=""font-style: italic; margin-top: 10px; font-size: 11px;"">Zdjęcia są poglądowe – każdy blat posiada unikalny układ słojów i odcieni.</p>","<section class=""section"">
    <div class=""item item-12"">
        <section class=""text-item"">
            <p>
                ➡️ Przedmiotem oferty jest <b>[nazwa_aukcji]</b>
            </p>
            <p>Dane techniczne:</p>
            <ul>
                <li><b>Długość (A):</b> [dlugosc] cm</li>
                <li><b>Szerokość (B):</b> [szerokosc] cm</li>
                <li><b>Grubość (C):</b> [wysokosc] cm</li>
                <li><b>Tolerancja:</b> +/- 2 mm</li>
                <li><b>Gatunek:</b> [cecha|gatunek]</li>
                <li><b>Technologia:</b> [cecha|technologia]</li>
                <li><b>Klasa:</b> [cecha|klasa]</li>
                <li><b>Wykończenie:</b> [cecha|wykończenie], zaokrąglone krawędzie</li>
                <li><b>Wilgotność:</b> 8-10%</li>
            </ul>
        </section>
    </div>
</section>","<section class=""section""> 
  <div class=""item item-12"">
      <section class=""text-item"">
          <h2>➡️ Zastosowanie:</h2><ul><li><b>Jadalnia:&nbsp;</b>Przytulne miejsce spotkań przy stole. Nasze blaty dodadzą ciepła każdemu wnętrzu.</li><li><b>Kuchnia:</b>&nbsp;Piękny, naturalny blat do kuchni, który możesz wykończyć według własnych preferencji.</li><li><b>Łazienka:</b>&nbsp;Drewno w łazience? Czemu nie! Naturalne drewno tworzy przyjazny i przytulny klimat.</li><li><b>Biuro:</b>&nbsp;Solidny i stylowy blat do Twojego gabinetu lub domowego biura.</li></ul>
      </section>
  </div>
</section>","<section class=""section"">
    <div class=""item item-12"">
        <section class=""text-item"">
            <h2>➡️ Dąb – siła i trwałość natury w Twoim domu</h2>
            <p>Dąb to jeden z najbardziej cenionych gatunków drewna w stolarstwie i aranżacji wnętrz. Charakteryzuje się wyjątkową twardością, odpornością na uszkodzenia oraz pięknym, naturalnym wyglądem, który dodaje elegancji każdemu pomieszczeniu. Drewno dębowe to idealny wybór, jeśli szukasz materiału, który przetrwa lata, a nawet dekady.</p>
        </section>
    </div>
</section>","<section class=""section"">
      <div class=""item item-12"">
          <section class=""text-item"">
              <h2>➡️ Co oznacza lite B/B?</h2>
              <p><b>Lite:</b> lamele o szerokości ok. 4 cm łączone wyłącznie na szerokości, co zapewnia jednolity, naturalny wygląd drewna, wysoką wytrzymałość na uszkodzenia mechaniczne oraz zachowuje strukturę drewna na całej długości.</p>
              <p><b>B/B:</b> Obie strony (góra i dół) posiadają naturalne sęki i przebarwienia, nadając produktowi rustykalny wygląd. Idealne do wnętrz, gdzie liczy się naturalność i autentyczność, pasujące zarówno do nowoczesnych, jak i klasycznych aranżacji.</p>
          </section>
      </div>
